,Unnamed: 0,Stn Id,Stn Name,CIMIS Region,Date,Day of Meas,Jul,Eto,qc,Precip (mm),qc.1,Sol Rad (W/sq.m),qc.2,Net Rad (W/sq.m),qc.3,Avg Vap Pres (kPa),qc.4,Max Air Temp (C),qc.5,Min Air Temp (C),qc.6,Avg Air Temp (C),qc.7,Max Rel Hum (%),qc.8,Min Rel Hum (%),qc.9,Avg Rel Hum (%),qc.10,Dew Point (C),qc.11,Avg Wind Speed (m/s),qc.12,Wind Run (km),qc.13,Avg Soil Temp (C),qc.14,PM ETo (mm),qc.15,Latitude,Longitude,Elevation,Plag1,Plag2,P_post1,P_post2,day,month,year,doy,dr,delta,omega,Rext,Rso,es_Tmax,es_Tmin,es,VPD,TmaxK,TminK,Rnl_out,Rnet_FAO,TmeanFAOC,del,P,gamma,PM_ETo_Calc,PT_ETo,Rnet_SdB,ETo_SdB,ETo_Ensemble,Bias_ETPM,Bias_ETPT,Bias_ETSdB,Bias_ETCIMIS
8050,8050,90,Alturas,Northeast Plateau,1/16/2019,15,16,33.7484, ,4.5, ,61, ,15, ,0.7, ,7.8, ,0.1, ,4.6, ,98, ,67, ,79, ,1.3, ,5.7,Y,496.6,Y,1.6, ,26.942, ,41.438214,-120.480308,4405,3,0,7.5,7.5,16,1,2019,16,1.031757452,-0.367193707,1.224613539,165.0612362,128.2282967,1.058243415,0.615259552,0.836751484,0.136751484,280.96,273.26,21.80083158,25.16916842,3.95,0.0570609,86.40394875,0.057458626,24.63091691,15.80150625,6.318420282,23.14823821,24.33226534,0.012273891,-0.350594528,-0.048660785,0.386981423
8051,8051,90,Alturas,Northeast Plateau,1/17/2019,16,17,16.7324, ,8.4, ,54, ,2, ,0.6, ,5.2, ,-0.5, ,2.1, ,95, ,74, ,85, ,-0.1, ,3.9, ,334.2, ,2.4, ,15.0308, ,41.438214,-120.480308,4405,4.5,3,12.9,15.9,17,1,2019,17,1.031598423,-0.364040147,1.228002272,166.4658772,129.3194961,0.884564423,0.588928157,0.73674629,0.13674629,278.36,272.66,16.17872187,25.40127813,2.35,0.051625405,86.40394875,0.057458626,22.40742598,15.14706224,5.897011383,22.79083565,19.26943097,0.162848349,-0.21393308,0.18274565,-0.131660918
8052,8052,90,Alturas,Northeast Plateau,1/18/2019,17,18,7.6572, ,3.6, ,31, ,-4, ,0.6, ,5.2, ,-1, ,1.9, ,95, ,79, ,87, ,-0.1, ,3.1, ,266.3, ,2.2, ,8.2244, ,41.438214,-120.480308,4405,8.4,4.5,12,16.5,18,1,2019,18,1.03143004,-0.360778823,1.231493962,167.9192403,130.4485454,0.884564423,0.567751891,0.726158157,0.126158157,278.36,272.16,-2.201486418,26.07148642,2.1,0.05081764,86.40394875,0.057458626,20.19366243,15.41762794,3.562618935,21.67205514,16.23513638,0.243824626,-0.05035427,0.334885931,-0.528356287
8053,8053,90,Alturas,Northeast Plateau,1/19/2019,18,19,27.7928, ,0.2, ,47, ,6, ,0.8, ,10.1, ,0.9, ,6.4, ,97, ,69, ,81, ,3.4, ,4.7, ,403.7, ,2.8, ,27.2256, ,41.438214,-120.480308,4405,3.6,8.4,3.8,12.2,19,1,2019,19,1.031252353,-0.357410701,1.235086492,169.420978,131.6151747,1.236215522,0.651984939,0.944100231,0.144100231,283.26,274.06,9.715763546,26.47423645,5.5,0.062787408,86.40394875,0.057458626,24.65415986,17.41789954,5.674298464,22.96287936,23.20693469,0.062361755,-0.249452814,-0.010516483,0.197607542
8054,8054,90,Alturas,Northeast Plateau,1/20/2019,19,20,12.4784, ,12.9, ,17, ,-14, ,0.7, ,7.6, ,0.1, ,3.5, ,98, ,69, ,85, ,1.2, ,4.5, ,387.4, ,3.4, ,9.0752, ,41.438214,-120.480308,4405,0.2,3.6,13.1,16.7,20,1,2019,20,1.031065415,-0.353936777,1.238777726,170.9707241,132.8190994,1.043891435,0.615259552,0.829575494,0.129575494,280.76,273.26,-13.20092804,26.29092804,3.85,0.056707362,86.40394875,0.057458626,22.66115421,16.45429073,2.152454934,21.0691454,18.16574759,0.247466095,-0.094213401,0.159828149,-0.313080844
8056,8056,90,Alturas,Northeast Plateau,1/22/2019,20,22,26.0912, ,0, ,121, ,39, ,0.4, ,1.8, ,-8.1, ,-3.4, ,95, ,64, ,83, ,-5.9, ,1.3, ,115.7, ,1.8, ,24.9568, ,41.438214,-120.480308,4405,12.9,0.2,12.9,13.1,22,1,2019,22,1.030664008,-0.346675672,1.246447656,174.212678,135.3376206,0.695605104,0.33177013,0.513687617,0.113687617,274.96,265.06,65.07914574,28.09085426,-3.15,0.03618947,86.40394875,0.057458626,15.28448968,13.67787917,16.76913093,26.48028083,20.38346242,-0.250152434,-0.328971747,0.299106123,0.280018059
8057,8057,90,Alturas,Northeast Plateau,1/23/2019,21,23,5.672, ,0, ,36, ,-3, ,0.5, ,4.2, ,-4.9, ,-1, ,97, ,83, ,92, ,-2.2, ,1.3, ,108.3, ,1.4, ,7.6572, ,41.438214,-120.480308,4405,0,12.9,0,12.9,23,1,2019,23,1.030449659,-0.342890639,1.250421996,175.9040543,136.6515712,0.82478059,0.424385851,0.62458322,0.12458322,277.36,268.26,0.428331323,27.29166868,-0.35,0.043458915,86.40394875,0.057458626,16.28403645,14.80856085,5.207727523,22.24264469,14.7518105,0.103866976,0.003847009,0.507790836,-0.615504822
8058,8058,90,Alturas,Northeast Plateau,1/24/2019,22,24,24.106, ,0.1, ,112, ,22, ,0.5, ,4.8, ,-5.4, ,-1.4, ,98, ,78, ,93, ,-2.3, ,1.2, ,102.3, ,1.4, ,24.3896, ,41.438214,-120.480308,4405,0,0,0.1,0.1,24,1,2019,24,1.030226296,-0.339004104,1.254486332,177.6417753,138.0015248,0.860207413,0.408553183,0.634380298,0.134380298,277.96,267.76,56.60281118,29.63718882,-0.3,0.043599377,86.40394875,0.057458626,17.34152354,16.11080066,16.88694396,27.28552133,21.21096138,-0.18242633,-0.240449296,0.286387771,0.136487855
8059,8059,90,Alturas,Northeast Plateau,1/25/2019,23,25,29.4944, ,0.1, ,139, ,23, ,0.4, ,7.9, ,-8.5, ,-2.5, ,96, ,57, ,84, ,-4.8, ,0.9, ,81.2, ,1.4, ,31.7632, ,41.438214,-120.480308,4405,0.1,0,0.2,0.2,25,1,2019,25,1.029993985,-0.335017215,1.258638468,179.425374,139.3871186,1.06548433,0.321559641,0.693521985,0.293521985,281.06,264.66,79.16834045,27.86165955,-0.3,0.043599377,86.40394875,0.057458626,22.21094782,15.14562146,21.8135133,29.41098738,24.06548916,-0.077062275,-0.370649757,0.222122982,0.22558905
8060,8060,90,Alturas,Northeast Plateau,1/26/2019,24,26,33.1812, ,0, ,124, ,28, ,0.5, ,11.2, ,-6.4, ,0.5, ,93, ,46, ,78, ,-2.9, ,1.2, ,99.7, ,1.3, ,34.032, ,41.438214,-120.480308,4405,0.1,0.1,0.1,0.2,26,1,2019,26,1.029752795,-0.330931155,1.262876204,181.2543622,140.8079733,1.330268088,0.378450831,0.85435946,0.35435946,284.36,266.76,66.502856,28.977144,2.4,0.051788275,86.40394875,0.057458626,28.37233419,17.30806199,20.22663875,29.58839763,27.11249845,0.046466973,-0.361620545,0.091319477,0.223834095
8061,8061,90,Alturas,Northeast Plateau,1/27/2019,25,27,36.5844, ,0, ,138, ,14, ,0.5, ,12, ,-3.5, ,2, ,94, ,45, ,75, ,-2, ,1.1, ,98.6, ,1.6, ,40.8384, ,41.438214,-120.480308,4405,0,0.1,0,0.1,27,1,2019,27,1.029502798,-0.326747132,1.267197344,183.1282305,142.2636933,1.402563873,0.471649743,0.937106808,0.437106808,285.16,269.66,78.02263904,28.23736096,4.25,0.058132879,86.40394875,0.057458626,30.52540802,17.89330496,23.36726437,31.75178359,29.18872414,0.045794529,-0.38697886,0.087809917,0.253374414
8062,8062,90,Alturas,Northeast Plateau,1/28/2019,26,28,24.106, ,0, ,92, ,16, ,0.5, ,8.6, ,-5.7, ,1.3, ,95, ,63, ,80, ,-1.8, ,1.1, ,95.7, ,1.8, ,25.524, ,41.438214,-120.480308,4405,0,0,0,0,28,1,2019,28,1.029244068,-0.322466385,1.271599695,185.046448,143.753866,1.117403609,0.399307067,0.758355338,0.258355338,281.76,267.46,40.10622994,30.73377006,1.45,0.048768071,86.40394875,0.057458626,23.62299075,17.7782202,16.15102806,27.41484488,23.23051396,0.016894882,-0.234703966,0.180122185,0.037686899
8063,8063,90,Alturas,Northeast Plateau,1/29/2019,27,29,41.122, ,0, ,135, ,30, ,0.6, ,13.4, ,-2.6, ,4.2, ,92, ,44, ,74, ,-0.1, ,1.2, ,101.3, ,2.5, ,43.3908, ,41.438214,-120.480308,4405,0,0,0,0,29,1,2019,29,1.02897668,-0.318090181,1.276081074,187.0084619,145.2780622,1.537413793,0.504442066,1.02092793,0.42092793,286.56,270.56,71.86112344,32.08887656,5.4,0.062403655,86.40394875,0.057458626,32.53737128,21.05002159,24.54182858,32.77716214,31.87163875,0.020887929,-0.33953752,0.028411573,0.290238018
8066,8066,90,Alturas,Northeast Plateau,2/1/2019,28,32,21.27, ,2.7, ,30, ,-5, ,0.7, ,9, ,1, ,6.4, ,94, ,60, ,74, ,2, ,3.4, ,295.7, ,3.1, ,21.8372, ,41.438214,-120.480308,4405,0,0,2.7,2.7,1,2,2019,32,1.028123381,-0.304401922,1.289977696,193.1514285,150.0502435,1.148060478,0.656709164,0.902384821,0.202384821,282.16,274.16,-6.066781792,29.16678179,5,0.060888665,86.40394875,0.057458626,29.25545621,18.90763414,6.014959393,23.09464497,23.13193383,0.264721593,-0.182617663,-0.001612008,-0.080491923
8067,8067,90,Alturas,Northeast Plateau,2/2/2019,29,33,13.3292, ,6.3, ,48, ,5, ,0.7, ,8.1, ,1, ,3.6, ,98, ,76, ,89, ,2, ,2.1, ,183.9, ,3.7, ,13.8964, ,41.438214,-120.480308,4405,2.7,0,9,9,2,2,2019,33,1.027822183,-0.299657121,1.29475358,195.2826645,151.7059003,1.080097127,0.656709164,0.868403145,0.168403145,281.26,274.16,5.804230114,31.15576989,4.55,0.05922208,86.40394875,0.057458626,23.54548836,19.9247848,9.922269771,25.03611499,20.45889704,0.150867924,-0.0261066,0.223727503,-0.348488827
8068,8068,90,Alturas,Northeast Plateau,2/3/2019,30,34,15.3144, ,1.9, ,53, ,6, ,0.6, ,4.4, ,-1, ,1.6, ,94, ,77, ,86, ,-0.4, ,3.5, ,302.5, ,3.2, ,15.3144, ,41.438214,-120.480308,4405,6.3,2.7,8.2,10.9,3,2,2019,34,1.027512748,-0.294823616,1.29959777,197.4546049,153.3931785,0.836443783,0.567751891,0.702097837,0.102097837,277.56,272.16,8.73175644,32.07824356,1.7,0.049547797,86.40394875,0.057458626,19.93791261,18.71524986,11.2842262,25.22499991,19.79814059,0.007059856,-0.054696588,0.274109545,-0.226472813
8069,8069,90,Alturas,Northeast Plateau,2/4/2019,31,35,20.4192, ,2, ,70, ,17, ,0.5, ,2.1, ,-5.7, ,-1.7, ,95, ,73, ,84, ,-4, ,4.1, ,353, ,2.5, ,18.1504, ,41.438214,-120.480308,4405,1.9,6.3,3.9,10.2,4,2,2019,35,1.02719517,-0.289902837,1.304508179,199.6665655,155.1115464,0.710707392,0.399307067,0.55500723,0.05500723,275.26,267.46,19.23363563,34.66636437,-1.8,0.039551439,86.40394875,0.057458626,14.62574561,17.80837678,15.33570667,26.25243645,19.77643971,-0.260445974,-0.099515532,0.327460192,0.032501315
8070,8070,90,Alturas,Northeast Plateau,2/5/2019,32,36,20.4192, ,3.1, ,97, ,33, ,0.3, ,-2.3,Y,-10.9, ,-6.1, ,95, ,66, ,85, ,-8.2, ,1.8, ,156.6, ,1.8, ,18.7176, ,41.438214,-120.480308,4405,2,1.9,5.1,7,5,2,2019,36,1.026869541,-0.284896241,1.309482742,201.91784,156.8604555,0.515812868,0.265949797,0.390881333,0.090881333,270.86,262.26,36.60431294,38.08568706,-6.6,0.028694841,86.40394875,0.057458626,16.42895233,15.98318785,21.84672473,27.276414,20.02693855,-0.179657325,-0.201915569,0.361986204,0.019586691
8073,8073,90,Alturas,Northeast Plateau,2/8/2019,33,39,20.9864, ,0, ,86, ,29, ,0.4, ,1.4, ,-8.9, ,-3.6, ,94, ,64, ,80, ,-6.6, ,1.6, ,137.9, ,1.1, ,20.9864, ,41.438214,-120.480308,4405,3.1,2,3.1,5.1,8,2,2019,39,1.025845328,-0.269376492,1.324771093,208.9001597,162.2846907,0.675909976,0.311629266,0.493769621,0.093769621,274.56,264.26,27.50818295,38.71181705,-3.75,0.034776277,86.40394875,0.057458626,17.5159384,18.39085371,20.93520934,27.8934179,21.1966525,-0.173646009,-0.132369901,0.315935047,-0.009919137
8074,8074,90,Alturas,Northeast Plateau,2/9/2019,34,40,32.3304, ,0.3, ,97, ,36, ,0.4, ,1.6, ,-7.7, ,-2.2, ,96, ,64, ,81, ,-4.9, ,5.6, ,480.4, ,1, ,22.4044, ,41.438214,-120.480308,4405,0,3.1,0.3,3.4,9,2,2019,40,1.025488486,-0.264041694,1.329982147,211.3011955,164.1499423,0.685695074,0.342267551,0.513981313,0.113981313,274.76,265.46,34.04413452,40.64586548,-3.05,0.036429754,86.40394875,0.057458626,24.33974279,19.87153045,24.1933619,29.38729828,26.48224288,-0.080903272,-0.249628117,0.109698239,0.22083315
8076,8076,90,Alturas,Northeast Plateau,2/11/2019,35,42,41.122, ,0.1, ,151, ,55, ,0.4, ,0.9, ,-4.7, ,-2.5, ,78, ,61, ,72, ,-6.8, ,3.8, ,331.1, ,0.9, ,34.3156, ,41.438214,-120.480308,4405,0.3,0,0.4,0.4,11,2,2019,42,1.024752272,-0.253139214,1.340565053,216.2088158,167.9624412,0.651984939,0.430869684,0.541427312,0.141427312,274.06,268.46,66.71777973,49.55222027,-1.9,0.039293495,86.40394875,0.057458626,28.38698425,25.35676411,39.44612055,36.02007203,32.7214551,-0.132465712,-0.225072234,0.100808993,0.256728953
8077,8077,90,Alturas,Northeast Plateau,2/12/2019,36,43,49.9136, ,0, ,112, ,41, ,0.4, ,2.9, ,-6.9, ,-1.1, ,95, ,47, ,64, ,-7.1, ,5, ,428.4, ,0.9, ,40.5548, ,41.438214,-120.480308,4405,0.1,0.3,0.1,0.4,12,2,2019,43,1.02437312,-0.24757476,1.345933147,218.7137134,169.9083782,0.752405183,0.364151159,0.558278171,0.158278171,276.06,266.26,41.69990706,44.54009294,-2,0.039037003,86.40394875,0.057458626,31.00812281,22.70337843,29.910656,32.10026168,33.93134073,-0.08615097,-0.330902406,-0.053964241,0.471017618
8078,8078,90,Alturas,Northeast Plateau,2/13/2019,37,44,25.524, ,10.5, ,90, ,27, ,0.6, ,3.3, ,-0.1, ,1.1, ,98, ,76, ,89, ,-0.5, ,3.1, ,265, ,0.7, ,23.8224, ,41.438214,-120.480308,4405,0,0.1,10.5,10.6,13,2,2019,44,1.023986752,-0.241937018,1.35134988,221.2515117,171.8798741,0.774052652,0.606369052,0.690210852,0.090210852,276.46,273.06,26.71268846,42.58731154,1.6,0.049234631,86.40394875,0.057458626,21.4628187,24.76192951,24.55454301,31.33093032,25.76991963,-0.167136762,-0.039114989,0.215794646,-0.009542895
8079,8079,90,Alturas,Northeast Plateau,2/14/2019,38,45,45.0924, ,17.9, ,116, ,42, ,0.6, ,7.3, ,0, ,3.5, ,98, ,63, ,80, ,0.4, ,5.6, ,487.4, ,0.9, ,34.8828, ,41.438214,-120.480308,4405,10.5,0,28.4,28.4,14,2,2019,45,1.023593284,-0.236227658,1.356813454,223.8213182,173.8762357,1.022684775,0.6108,0.816742388,0.216742388,280.46,273.16,42.49313685,46.82686315,3.65,0.056005919,86.40394875,0.057458626,40.63528987,29.1232182,32.31023837,35.94828231,37.6997976,0.077864935,-0.227496696,-0.046459541,0.196091302
8080,8080,90,Alturas,Northeast Plateau,2/15/2019,39,46,41.122, ,0.3, ,131, ,43, ,0.4, ,1.8, ,-3.8, ,-0.8, ,93, ,56, ,71, ,-5.4, ,4.5, ,385, ,1.3, ,36.0172, ,41.438214,-120.480308,4405,17.9,10.5,18.2,28.7,15,2,2019,46,1.023192832,-0.230448369,1.362322102,226.4222217,175.8967551,0.695605104,0.46114662,0.578375862,0.178375862,274.96,269.36,51.3060111,49.5639889,-1,0.041668043,86.40394875,0.057458626,34.17816817,26.25121359,37.22783675,35.64877659,34.30003959,-0.003553098,-0.234659379,0.039321733,0.198890745
8081,8081,90,Alturas,Northeast Plateau,2/16/2019,40,47,22.1208, ,1, ,79, ,27, ,0.4, ,0.3, ,-9, ,-2.4, ,95, ,68, ,82, ,-5, ,2.6, ,225.8, ,1.1, ,19.0012, ,41.438214,-120.480308,4405,0.3,17.9,1.3,19.2,16,2,2019,47,1.022785515,-0.224600863,1.367874094,229.0532928,177.9407102,0.624265107,0.309189654,0.46672738,0.06672738,273.46,264.16,18.59766057,42.23233943,-4.35,0.03341097,86.40394875,0.057458626,16.64323683,19.56528454,22.89123084,28.41665699,21.68649459,-0.232552925,-0.097812491,0.310338878,0.020026538
8085,8085,90,Alturas,Northeast Plateau,2/20/2019,41,51,43.958, ,1.3, ,163, ,71, ,0.4, ,0.4, ,-7, ,-2.9, ,94, ,52, ,77, ,-6.3, ,2.6, ,228.7, ,0.6, ,34.032, ,41.438214,-120.480308,4405,1,0.3,2.3,2.6,20,2,2019,51,1.021090029,-0.200563575,1.390482009,239.8600545,186.3359741,0.628811428,0.361349474,0.495080451,0.095080451,273.56,266.16,62.90496184,62.60503816,-3.3,0.035831607,86.40394875,0.057458626,24.89451977,30.29771951,50.75807835,39.49554061,34.66144497,-0.281780671,-0.125895659,0.139466074,0.268210256
8088,8088,90,Alturas,Northeast Plateau,2/23/2019,42,54,37.1516, ,0, ,120, ,53, ,0.4, ,3.9, ,-8.1, ,-1.3, ,87, ,47, ,69, ,-6.1, ,1.7, ,144.6, ,0.5, ,35.1664, ,41.438214,-120.480308,4405,1.3,1,1.3,2.3,23,2,2019,54,1.01975243,-0.181906045,1.407813145,248.2338372,192.8411713,0.80755476,0.33177013,0.569662445,0.169662445,277.06,265.06,37.83297959,54.56702041,-2.1,0.038781954,86.40394875,0.057458626,28.40509733,27.70589873,39.22433246,35.80618346,32.26719488,-0.119691147,-0.14136017,0.109677603,0.151373714
